file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
lie\1 (1).png,453.0,175.0,0.61104083,465.0,178.0,0.48626995,463.0,176.0,0.64707315,470.0,202.0,0.78554404,467.0,199.0,0.64263713,442.0,213.0,0.83167714,434.0,207.0,0.77016896,364.0,233.0,0.70662594,362.0,227.0,0.47535712,301.0,234.0,0.5150971,302.0,227.0,0.5340489,303.0,218.0,0.7120237,304.0,207.0,0.7772854,240.0,129.0,0.8270048,246.0,129.0,0.84364396,202.0,217.0,0.4489366,206.0,214.0,0.8643317,0,lie
lie\1 (10).jpg,602.0,32.0,0.62291086,616.0,42.0,0.4824334,613.0,38.0,0.5797893,618.0,74.0,0.55023456,609.0,63.0,0.44600943,581.0,95.0,0.47486627,551.0,60.0,0.4910237,695.0,116.0,0.74046266,496.0,56.0,0.39624375,638.0,105.0,0.36608112,488.0,45.0,0.302195,385.0,98.0,0.5219761,378.0,70.0,0.6316433,264.0,89.0,0.339381,271.0,52.0,0.53850114,114.0,110.0,0.3927239,126.0,83.0,0.618701,0,lie
lie\1 (11).jpg,189.0,208.0,0.6842092,177.0,202.0,0.6736386,174.0,211.0,0.6542505,167.0,226.0,0.52095485,161.0,245.0,0.72220385,220.0,248.0,0.5221645,210.0,268.0,0.5043833,296.0,260.0,0.28662434,297.0,272.0,0.3958099,369.0,254.0,0.31985465,368.0,263.0,0.47400612,356.0,253.0,0.6911273,356.0,271.0,0.6314324,466.0,259.0,0.22559543,464.0,264.0,0.37349918,586.0,254.0,0.42018244,589.0,258.0,0.48125884,0,lie
lie\1 (13).jpg,88.0,166.0,0.6795427,80.0,169.0,0.6698153,78.0,173.0,0.69117045,80.0,190.0,0.5676685,81.0,198.0,0.75879574,126.0,184.0,0.5807859,115.0,205.0,0.60999227,178.0,195.0,0.33445027,177.0,218.0,0.59372985,234.0,203.0,0.29339054,231.0,220.0,0.7628603,238.0,183.0,0.7745441,236.0,199.0,0.54705685,334.0,187.0,0.5374327,334.0,201.0,0.7093338,428.0,191.0,0.5766751,434.0,203.0,0.6068913,0,lie
lie\1 (15).jpg,507.0,92.0,0.601907,525.0,98.0,0.73081815,518.0,86.0,0.655639,535.0,126.0,0.6154749,525.0,100.0,0.7440467,505.0,170.0,0.7594139,469.0,112.0,0.70283186,443.0,218.0,0.42645428,408.0,137.0,0.31065947,422.0,138.0,0.62957036,411.0,120.0,0.45455799,333.0,178.0,0.49134383,321.0,143.0,0.7609795,187.0,176.0,0.7520148,197.0,138.0,0.50614214,60.0,191.0,0.6267905,79.0,170.0,0.64990854,0,lie
lie\1 (16).jpg,96.0,167.0,0.4486226,98.0,152.0,0.84360105,82.0,170.0,0.82622147,119.0,148.0,0.5887033,82.0,187.0,0.59048295,166.0,186.0,0.6485417,90.0,220.0,0.77857137,246.0,230.0,0.477868,42.0,286.0,0.7513238,235.0,234.0,0.635712,113.0,258.0,0.4986884,175.0,321.0,0.4116638,133.0,321.0,0.594632,126.0,209.0,0.17119315,93.0,221.0,0.21471484,96.0,216.0,0.20285386,119.0,265.0,0.31884393,0,lie
lie\1 (18).jpg,213.0,95.0,0.5740392,226.0,81.0,0.6970513,199.0,83.0,0.83396405,253.0,91.0,0.58758354,184.0,97.0,0.71433103,298.0,166.0,0.86238223,165.0,175.0,0.86188066,426.0,186.0,0.7795172,57.0,213.0,0.63767356,469.0,103.0,0.6245302,37.0,128.0,0.6424551,279.0,399.0,0.69980925,190.0,397.0,0.74961734,300.0,596.0,0.53215694,58.0,486.0,0.6210607,461.0,640.0,0.74646306,185.0,617.0,0.6118042,0,lie
lie\1 (2).png,39.0,84.0,0.3659634,33.0,79.0,0.4419304,31.0,87.0,0.50351655,38.0,72.0,0.60217154,35.0,94.0,0.6396196,74.0,60.0,0.76616883,58.0,112.0,0.8155738,92.0,61.0,0.19989787,94.0,134.0,0.4619967,97.0,78.0,0.10023507,126.0,165.0,0.665959,126.0,91.0,0.6107408,118.0,113.0,0.51011884,178.0,114.0,0.57247883,168.0,122.0,0.27923214,228.0,129.0,0.3009856,229.0,129.0,0.32427922,0,lie
lie\1 (22).jpg,602.0,32.0,0.62291086,616.0,42.0,0.4824334,613.0,38.0,0.5797893,618.0,74.0,0.55023456,609.0,63.0,0.44600943,581.0,95.0,0.47486627,551.0,60.0,0.4910237,695.0,116.0,0.74046266,496.0,56.0,0.39624375,638.0,105.0,0.36608112,488.0,45.0,0.302195,385.0,98.0,0.5219761,378.0,70.0,0.6316433,264.0,89.0,0.339381,271.0,52.0,0.53850114,114.0,110.0,0.3927239,126.0,83.0,0.618701,0,lie
lie\1 (24).jpg,96.0,167.0,0.4486226,98.0,152.0,0.84360105,82.0,170.0,0.82622147,119.0,148.0,0.5887033,82.0,187.0,0.59048295,166.0,186.0,0.6485417,90.0,220.0,0.77857137,246.0,230.0,0.477868,42.0,286.0,0.7513238,235.0,234.0,0.635712,113.0,258.0,0.4986884,175.0,321.0,0.4116638,133.0,321.0,0.594632,126.0,209.0,0.17119315,93.0,221.0,0.21471484,96.0,216.0,0.20285386,119.0,265.0,0.31884393,0,lie
lie\1 (25).jpg,272.0,203.0,0.57006496,256.0,185.0,0.6180113,243.0,222.0,0.34781665,264.0,214.0,0.3713368,248.0,285.0,0.66153127,352.0,210.0,0.64117885,326.0,329.0,0.64205253,278.0,49.0,0.6421391,472.0,439.0,0.5819591,153.0,151.0,0.6240598,497.0,336.0,0.53353447,645.0,268.0,0.69251484,631.0,381.0,0.5137001,782.0,195.0,0.1987721,739.0,253.0,0.10621239,915.0,296.0,0.10299993,889.0,328.0,0.19129913,0,lie
lie\1 (26).jpg,263.0,127.0,0.82242227,278.0,113.0,0.8575606,247.0,115.0,0.8064399,300.0,130.0,0.84572643,234.0,138.0,0.86039984,335.0,195.0,0.87113917,196.0,220.0,0.89270735,385.0,73.0,0.8824047,122.0,321.0,0.8236876,274.0,42.0,0.7121198,84.0,221.0,0.8238954,327.0,421.0,0.8475014,242.0,425.0,0.8430245,472.0,547.0,0.7419524,253.0,636.0,0.9119133,323.0,620.0,0.791294,249.0,800.0,0.80426025,0,lie
lie\1 (27).jpg,285.0,113.0,0.8678465,298.0,101.0,0.905312,266.0,104.0,0.9345925,321.0,119.0,0.61731046,252.0,126.0,0.74988675,369.0,201.0,0.878591,206.0,196.0,0.9578955,482.0,245.0,0.9613054,103.0,254.0,0.9362953,501.0,120.0,0.83920705,77.0,132.0,0.7714429,322.0,428.0,0.8459333,234.0,423.0,0.91563725,379.0,630.0,0.95586693,195.0,632.0,0.8343008,426.0,793.0,0.82265204,162.0,803.0,0.8289137,0,lie
lie\1 (29).jpg,403.0,140.0,0.58319044,410.0,148.0,0.51724094,410.0,145.0,0.5668171,402.0,171.0,0.6321981,403.0,164.0,0.57178605,372.0,175.0,0.64229476,364.0,146.0,0.6644338,300.0,191.0,0.52873224,304.0,149.0,0.47113737,235.0,190.0,0.5877842,237.0,154.0,0.2740272,234.0,167.0,0.6057608,235.0,144.0,0.72428876,147.0,164.0,0.6691897,156.0,144.0,0.5813507,52.0,166.0,0.79796803,60.0,153.0,0.888566,0,lie
lie\1 (3).jpg,534.0,151.0,0.58504975,546.0,162.0,0.67980504,545.0,159.0,0.58079666,540.0,193.0,0.70619696,541.0,188.0,0.52344394,498.0,200.0,0.7014457,482.0,176.0,0.51302844,431.0,216.0,0.3738853,423.0,190.0,0.45004618,361.0,229.0,0.6202704,361.0,206.0,0.3148827,335.0,196.0,0.5434953,332.0,180.0,0.7657059,210.0,196.0,0.6518632,210.0,181.0,0.73472965,82.0,215.0,0.7579863,104.0,193.0,0.5136099,0,lie
lie\1 (3).png,73.0,151.0,0.56452394,67.0,158.0,0.6208543,67.0,161.0,0.6137248,77.0,182.0,0.72803295,77.0,185.0,0.62453437,121.0,172.0,0.6112765,119.0,191.0,0.66439325,200.0,182.0,0.43039834,204.0,209.0,0.68470645,280.0,192.0,0.3822466,280.0,210.0,0.7571108,284.0,162.0,0.79677147,286.0,178.0,0.65121114,384.0,163.0,0.73869646,389.0,176.0,0.6853677,488.0,170.0,0.69843817,505.0,189.0,0.7394595,0,lie
